,No Finding
90,"tf.Tensor(0.7173108, shape=(), dtype=float32)"
91,"tf.Tensor(0.71677375, shape=(), dtype=float32)"
92,"tf.Tensor(0.7162836, shape=(), dtype=float32)"
93,"tf.Tensor(0.71559334, shape=(), dtype=float32)"
94,"tf.Tensor(0.7146706, shape=(), dtype=float32)"
95,"tf.Tensor(0.7143677, shape=(), dtype=float32)"
96,"tf.Tensor(0.7131266, shape=(), dtype=float32)"
97,"tf.Tensor(0.711486, shape=(), dtype=float32)"
98,"tf.Tensor(0.708685, shape=(), dtype=float32)"
99,"tf.Tensor(0.70775265, shape=(), dtype=float32)"
100,"tf.Tensor(0.7065527, shape=(), dtype=float32)"
101,"tf.Tensor(0.7052778, shape=(), dtype=float32)"
102,"tf.Tensor(0.7034938, shape=(), dtype=float32)"
103,"tf.Tensor(0.701523, shape=(), dtype=float32)"
104,"tf.Tensor(0.69981205, shape=(), dtype=float32)"
105,"tf.Tensor(0.6973588, shape=(), dtype=float32)"
106,"tf.Tensor(0.69565594, shape=(), dtype=float32)"
107,"tf.Tensor(0.6936722, shape=(), dtype=float32)"
108,"tf.Tensor(0.6914968, shape=(), dtype=float32)"
109,"tf.Tensor(0.6891058, shape=(), dtype=float32)"
110,"tf.Tensor(0.68558854, shape=(), dtype=float32)"
111,"tf.Tensor(0.6834571, shape=(), dtype=float32)"
112,"tf.Tensor(0.6814729, shape=(), dtype=float32)"
113,"tf.Tensor(0.6791678, shape=(), dtype=float32)"
114,"tf.Tensor(0.6754122, shape=(), dtype=float32)"
115,"tf.Tensor(0.6717274, shape=(), dtype=float32)"
116,"tf.Tensor(0.6693607, shape=(), dtype=float32)"
117,"tf.Tensor(0.6656009, shape=(), dtype=float32)"
118,"tf.Tensor(0.66299456, shape=(), dtype=float32)"
119,"tf.Tensor(0.6596501, shape=(), dtype=float32)"
120,"tf.Tensor(0.6562297, shape=(), dtype=float32)"
121,"tf.Tensor(0.652731, shape=(), dtype=float32)"
122,"tf.Tensor(0.6497438, shape=(), dtype=float32)"
123,"tf.Tensor(0.64583236, shape=(), dtype=float32)"
124,"tf.Tensor(0.6423101, shape=(), dtype=float32)"
125,"tf.Tensor(0.63772696, shape=(), dtype=float32)"
126,"tf.Tensor(0.63411105, shape=(), dtype=float32)"
127,"tf.Tensor(0.62922657, shape=(), dtype=float32)"
128,"tf.Tensor(0.6250122, shape=(), dtype=float32)"
129,"tf.Tensor(0.62041783, shape=(), dtype=float32)"
130,"tf.Tensor(0.6146438, shape=(), dtype=float32)"
131,"tf.Tensor(0.60988295, shape=(), dtype=float32)"
132,"tf.Tensor(0.6029694, shape=(), dtype=float32)"
133,"tf.Tensor(0.59743696, shape=(), dtype=float32)"
134,"tf.Tensor(0.59066397, shape=(), dtype=float32)"
135,"tf.Tensor(0.58432204, shape=(), dtype=float32)"
136,"tf.Tensor(0.57793087, shape=(), dtype=float32)"
137,"tf.Tensor(0.5704645, shape=(), dtype=float32)"
138,"tf.Tensor(0.5625499, shape=(), dtype=float32)"
139,"tf.Tensor(0.5567475, shape=(), dtype=float32)"
140,"tf.Tensor(0.54701227, shape=(), dtype=float32)"
141,"tf.Tensor(0.53858787, shape=(), dtype=float32)"
142,"tf.Tensor(0.52847105, shape=(), dtype=float32)"
143,"tf.Tensor(0.5197475, shape=(), dtype=float32)"
144,"tf.Tensor(0.51084745, shape=(), dtype=float32)"
145,"tf.Tensor(0.50114053, shape=(), dtype=float32)"
146,"tf.Tensor(0.48920447, shape=(), dtype=float32)"
147,"tf.Tensor(0.47888967, shape=(), dtype=float32)"
148,"tf.Tensor(0.46516296, shape=(), dtype=float32)"
149,"tf.Tensor(0.45212606, shape=(), dtype=float32)"
150,"tf.Tensor(0.44224262, shape=(), dtype=float32)"
151,"tf.Tensor(0.42918244, shape=(), dtype=float32)"
152,"tf.Tensor(0.415043, shape=(), dtype=float32)"
153,"tf.Tensor(0.39879608, shape=(), dtype=float32)"
154,"tf.Tensor(0.38638523, shape=(), dtype=float32)"
155,"tf.Tensor(0.3720811, shape=(), dtype=float32)"
156,"tf.Tensor(0.35805592, shape=(), dtype=float32)"
157,"tf.Tensor(0.34235063, shape=(), dtype=float32)"
158,"tf.Tensor(0.3245258, shape=(), dtype=float32)"
159,"tf.Tensor(0.30895624, shape=(), dtype=float32)"
160,"tf.Tensor(0.29334787, shape=(), dtype=float32)"
161,"tf.Tensor(0.27995044, shape=(), dtype=float32)"
162,"tf.Tensor(0.2609729, shape=(), dtype=float32)"
163,"tf.Tensor(0.24830604, shape=(), dtype=float32)"
164,"tf.Tensor(0.23354019, shape=(), dtype=float32)"
165,"tf.Tensor(0.21792746, shape=(), dtype=float32)"
166,"tf.Tensor(0.20263867, shape=(), dtype=float32)"
167,"tf.Tensor(0.18769798, shape=(), dtype=float32)"
168,"tf.Tensor(0.17379023, shape=(), dtype=float32)"
169,"tf.Tensor(0.15629937, shape=(), dtype=float32)"
170,"tf.Tensor(0.14334472, shape=(), dtype=float32)"
171,"tf.Tensor(0.12888412, shape=(), dtype=float32)"
172,"tf.Tensor(0.11445783, shape=(), dtype=float32)"
173,"tf.Tensor(0.10163424, shape=(), dtype=float32)"
174,"tf.Tensor(0.091165416, shape=(), dtype=float32)"
175,"tf.Tensor(0.07996845, shape=(), dtype=float32)"
176,"tf.Tensor(0.06677797, shape=(), dtype=float32)"
177,"tf.Tensor(0.05754016, shape=(), dtype=float32)"
178,"tf.Tensor(0.048204385, shape=(), dtype=float32)"
179,"tf.Tensor(0.037348423, shape=(), dtype=float32)"
180,"tf.Tensor(0.03051948, shape=(), dtype=float32)"
181,"tf.Tensor(0.025077349, shape=(), dtype=float32)"
182,"tf.Tensor(0.018628974, shape=(), dtype=float32)"
183,"tf.Tensor(0.011971138, shape=(), dtype=float32)"
184,"tf.Tensor(0.0091984235, shape=(), dtype=float32)"
185,"tf.Tensor(0.005923001, shape=(), dtype=float32)"
186,"tf.Tensor(0.0041172598, shape=(), dtype=float32)"
187,"tf.Tensor(0.002801813, shape=(), dtype=float32)"
188,"tf.Tensor(0.0024727993, shape=(), dtype=float32)"
189,"tf.Tensor(0.0011547344, shape=(), dtype=float32)"
190,"tf.Tensor(0.00066001154, shape=(), dtype=float32)"
191,"tf.Tensor(0.00033006023, shape=(), dtype=float32)"
192,"tf.Tensor(0.0, shape=(), dtype=float32)"
193,"tf.Tensor(0.0, shape=(), dtype=float32)"
194,"tf.Tensor(0.0, shape=(), dtype=float32)"
195,"tf.Tensor(0.0, shape=(), dtype=float32)"
196,"tf.Tensor(0.0, shape=(), dtype=float32)"
197,"tf.Tensor(0.0, shape=(), dtype=float32)"
198,"tf.Tensor(0.0, shape=(), dtype=float32)"
199,"tf.Tensor(0.0, shape=(), dtype=float32)"
