,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
20,"tf.Tensor(0.7260098, shape=(), dtype=float32)","tf.Tensor(0.26095474, shape=(), dtype=float32)","tf.Tensor(0.19252078, shape=(), dtype=float32)","tf.Tensor(0.30259869, shape=(), dtype=float32)","tf.Tensor(0.22559503, shape=(), dtype=float32)","tf.Tensor(0.18294461, shape=(), dtype=float32)","tf.Tensor(0.13414635, shape=(), dtype=float32)","tf.Tensor(0.043037973, shape=(), dtype=float32)","tf.Tensor(0.3437341, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15205725, shape=(), dtype=float32)","tf.Tensor(0.22294284, shape=(), dtype=float32)","tf.Tensor(0.12408201, shape=(), dtype=float32)","tf.Tensor(0.17324033, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.72320884, shape=(), dtype=float32)","tf.Tensor(0.26415852, shape=(), dtype=float32)","tf.Tensor(0.19553903, shape=(), dtype=float32)","tf.Tensor(0.302656, shape=(), dtype=float32)","tf.Tensor(0.22896107, shape=(), dtype=float32)","tf.Tensor(0.18098159, shape=(), dtype=float32)","tf.Tensor(0.13431014, shape=(), dtype=float32)","tf.Tensor(0.04087591, shape=(), dtype=float32)","tf.Tensor(0.34966493, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15249838, shape=(), dtype=float32)","tf.Tensor(0.2284264, shape=(), dtype=float32)","tf.Tensor(0.12531121, shape=(), dtype=float32)","tf.Tensor(0.17635107, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.7207745, shape=(), dtype=float32)","tf.Tensor(0.2671604, shape=(), dtype=float32)","tf.Tensor(0.19661692, shape=(), dtype=float32)","tf.Tensor(0.30259618, shape=(), dtype=float32)","tf.Tensor(0.23287927, shape=(), dtype=float32)","tf.Tensor(0.1851253, shape=(), dtype=float32)","tf.Tensor(0.13596492, shape=(), dtype=float32)","tf.Tensor(0.033613447, shape=(), dtype=float32)","tf.Tensor(0.35619366, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15763547, shape=(), dtype=float32)","tf.Tensor(0.23446453, shape=(), dtype=float32)","tf.Tensor(0.1264751, shape=(), dtype=float32)","tf.Tensor(0.17956835, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.71936697, shape=(), dtype=float32)","tf.Tensor(0.27036127, shape=(), dtype=float32)","tf.Tensor(0.19663042, shape=(), dtype=float32)","tf.Tensor(0.3026695, shape=(), dtype=float32)","tf.Tensor(0.23815967, shape=(), dtype=float32)","tf.Tensor(0.18638298, shape=(), dtype=float32)","tf.Tensor(0.1363212, shape=(), dtype=float32)","tf.Tensor(0.033519555, shape=(), dtype=float32)","tf.Tensor(0.36084574, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15525115, shape=(), dtype=float32)","tf.Tensor(0.23394495, shape=(), dtype=float32)","tf.Tensor(0.12905757, shape=(), dtype=float32)","tf.Tensor(0.1857623, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.71712166, shape=(), dtype=float32)","tf.Tensor(0.27398837, shape=(), dtype=float32)","tf.Tensor(0.20004588, shape=(), dtype=float32)","tf.Tensor(0.30287623, shape=(), dtype=float32)","tf.Tensor(0.2431891, shape=(), dtype=float32)","tf.Tensor(0.19013453, shape=(), dtype=float32)","tf.Tensor(0.13527054, shape=(), dtype=float32)","tf.Tensor(0.024439918, shape=(), dtype=float32)","tf.Tensor(0.36577746, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15559158, shape=(), dtype=float32)","tf.Tensor(0.2341742, shape=(), dtype=float32)","tf.Tensor(0.12596072, shape=(), dtype=float32)","tf.Tensor(0.18970278, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.71481186, shape=(), dtype=float32)","tf.Tensor(0.2768914, shape=(), dtype=float32)","tf.Tensor(0.19856043, shape=(), dtype=float32)","tf.Tensor(0.30316845, shape=(), dtype=float32)","tf.Tensor(0.24755564, shape=(), dtype=float32)","tf.Tensor(0.19088319, shape=(), dtype=float32)","tf.Tensor(0.1353781, shape=(), dtype=float32)","tf.Tensor(0.013392857, shape=(), dtype=float32)","tf.Tensor(0.36964023, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16087912, shape=(), dtype=float32)","tf.Tensor(0.23570019, shape=(), dtype=float32)","tf.Tensor(0.12457716, shape=(), dtype=float32)","tf.Tensor(0.19080302, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.7116763, shape=(), dtype=float32)","tf.Tensor(0.2799819, shape=(), dtype=float32)","tf.Tensor(0.19206008, shape=(), dtype=float32)","tf.Tensor(0.3032285, shape=(), dtype=float32)","tf.Tensor(0.25, shape=(), dtype=float32)","tf.Tensor(0.19361277, shape=(), dtype=float32)","tf.Tensor(0.13409092, shape=(), dtype=float32)","tf.Tensor(0.009411764, shape=(), dtype=float32)","tf.Tensor(0.374937, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1637044, shape=(), dtype=float32)","tf.Tensor(0.24180327, shape=(), dtype=float32)","tf.Tensor(0.12220114, shape=(), dtype=float32)","tf.Tensor(0.19090581, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.7084152, shape=(), dtype=float32)","tf.Tensor(0.28333205, shape=(), dtype=float32)","tf.Tensor(0.1896502, shape=(), dtype=float32)","tf.Tensor(0.30348033, shape=(), dtype=float32)","tf.Tensor(0.2506088, shape=(), dtype=float32)","tf.Tensor(0.19884272, shape=(), dtype=float32)","tf.Tensor(0.1308298, shape=(), dtype=float32)","tf.Tensor(0.01, shape=(), dtype=float32)","tf.Tensor(0.37913552, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16159602, shape=(), dtype=float32)","tf.Tensor(0.24114226, shape=(), dtype=float32)","tf.Tensor(0.11917242, shape=(), dtype=float32)","tf.Tensor(0.1961832, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
28,"tf.Tensor(0.70535713, shape=(), dtype=float32)","tf.Tensor(0.28585002, shape=(), dtype=float32)","tf.Tensor(0.18736383, shape=(), dtype=float32)","tf.Tensor(0.30392006, shape=(), dtype=float32)","tf.Tensor(0.25205106, shape=(), dtype=float32)","tf.Tensor(0.19889502, shape=(), dtype=float32)","tf.Tensor(0.1305483, shape=(), dtype=float32)","tf.Tensor(0.010204081, shape=(), dtype=float32)","tf.Tensor(0.38493356, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.158595, shape=(), dtype=float32)","tf.Tensor(0.24458875, shape=(), dtype=float32)","tf.Tensor(0.11955542, shape=(), dtype=float32)","tf.Tensor(0.19747141, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
29,"tf.Tensor(0.7012987, shape=(), dtype=float32)","tf.Tensor(0.28863636, shape=(), dtype=float32)","tf.Tensor(0.18193935, shape=(), dtype=float32)","tf.Tensor(0.3046054, shape=(), dtype=float32)","tf.Tensor(0.2547591, shape=(), dtype=float32)","tf.Tensor(0.20034945, shape=(), dtype=float32)","tf.Tensor(0.13176145, shape=(), dtype=float32)","tf.Tensor(0.005249344, shape=(), dtype=float32)","tf.Tensor(0.38789076, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15480934, shape=(), dtype=float32)","tf.Tensor(0.24430871, shape=(), dtype=float32)","tf.Tensor(0.11916422, shape=(), dtype=float32)","tf.Tensor(0.19949174, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
