,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
20,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.29935685, shape=(), dtype=float32)","tf.Tensor(0.20102775, shape=(), dtype=float32)","tf.Tensor(0.332103, shape=(), dtype=float32)","tf.Tensor(0.25602823, shape=(), dtype=float32)","tf.Tensor(0.19759825, shape=(), dtype=float32)","tf.Tensor(0.12302839, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40100026, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13706042, shape=(), dtype=float32)","tf.Tensor(0.19215156, shape=(), dtype=float32)","tf.Tensor(0.17827906, shape=(), dtype=float32)","tf.Tensor(0.18331334, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.6949182, shape=(), dtype=float32)","tf.Tensor(0.29908258, shape=(), dtype=float32)","tf.Tensor(0.20034768, shape=(), dtype=float32)","tf.Tensor(0.3338799, shape=(), dtype=float32)","tf.Tensor(0.26129228, shape=(), dtype=float32)","tf.Tensor(0.20023838, shape=(), dtype=float32)","tf.Tensor(0.08120649, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40463588, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13268292, shape=(), dtype=float32)","tf.Tensor(0.17877094, shape=(), dtype=float32)","tf.Tensor(0.17761557, shape=(), dtype=float32)","tf.Tensor(0.18520528, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.6949789, shape=(), dtype=float32)","tf.Tensor(0.30117145, shape=(), dtype=float32)","tf.Tensor(0.20170783, shape=(), dtype=float32)","tf.Tensor(0.33557993, shape=(), dtype=float32)","tf.Tensor(0.26427817, shape=(), dtype=float32)","tf.Tensor(0.19638243, shape=(), dtype=float32)","tf.Tensor(0.054711245, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40884906, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.12961012, shape=(), dtype=float32)","tf.Tensor(0.16785206, shape=(), dtype=float32)","tf.Tensor(0.17395285, shape=(), dtype=float32)","tf.Tensor(0.18887402, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.6949789, shape=(), dtype=float32)","tf.Tensor(0.3012115, shape=(), dtype=float32)","tf.Tensor(0.19857809, shape=(), dtype=float32)","tf.Tensor(0.33822003, shape=(), dtype=float32)","tf.Tensor(0.26611134, shape=(), dtype=float32)","tf.Tensor(0.19971672, shape=(), dtype=float32)","tf.Tensor(0.043771043, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.4138918, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13200934, shape=(), dtype=float32)","tf.Tensor(0.1594203, shape=(), dtype=float32)","tf.Tensor(0.16372141, shape=(), dtype=float32)","tf.Tensor(0.1899217, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.6949814, shape=(), dtype=float32)","tf.Tensor(0.30224183, shape=(), dtype=float32)","tf.Tensor(0.1987936, shape=(), dtype=float32)","tf.Tensor(0.34233648, shape=(), dtype=float32)","tf.Tensor(0.2638606, shape=(), dtype=float32)","tf.Tensor(0.19700551, shape=(), dtype=float32)","tf.Tensor(0.035778176, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.41747952, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1160221, shape=(), dtype=float32)","tf.Tensor(0.1506647, shape=(), dtype=float32)","tf.Tensor(0.1623052, shape=(), dtype=float32)","tf.Tensor(0.19123842, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.6950445, shape=(), dtype=float32)","tf.Tensor(0.30272233, shape=(), dtype=float32)","tf.Tensor(0.20202589, shape=(), dtype=float32)","tf.Tensor(0.3454528, shape=(), dtype=float32)","tf.Tensor(0.2638758, shape=(), dtype=float32)","tf.Tensor(0.18116592, shape=(), dtype=float32)","tf.Tensor(0.033210333, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.4224396, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.096610166, shape=(), dtype=float32)","tf.Tensor(0.13939394, shape=(), dtype=float32)","tf.Tensor(0.15626067, shape=(), dtype=float32)","tf.Tensor(0.19142352, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.695166, shape=(), dtype=float32)","tf.Tensor(0.3025189, shape=(), dtype=float32)","tf.Tensor(0.19222528, shape=(), dtype=float32)","tf.Tensor(0.34805742, shape=(), dtype=float32)","tf.Tensor(0.26575476, shape=(), dtype=float32)","tf.Tensor(0.15831663, shape=(), dtype=float32)","tf.Tensor(0.026217228, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.4268541, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.035595104, shape=(), dtype=float32)","tf.Tensor(0.1323077, shape=(), dtype=float32)","tf.Tensor(0.14094488, shape=(), dtype=float32)","tf.Tensor(0.19153883, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.69520897, shape=(), dtype=float32)","tf.Tensor(0.30242884, shape=(), dtype=float32)","tf.Tensor(0.18467852, shape=(), dtype=float32)","tf.Tensor(0.35197487, shape=(), dtype=float32)","tf.Tensor(0.2670397, shape=(), dtype=float32)","tf.Tensor(0.15472127, shape=(), dtype=float32)","tf.Tensor(0.015267176, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.43227425, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0028089888, shape=(), dtype=float32)","tf.Tensor(0.12480499, shape=(), dtype=float32)","tf.Tensor(0.122838944, shape=(), dtype=float32)","tf.Tensor(0.19008063, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
28,"tf.Tensor(0.69531524, shape=(), dtype=float32)","tf.Tensor(0.30296466, shape=(), dtype=float32)","tf.Tensor(0.18105744, shape=(), dtype=float32)","tf.Tensor(0.35597575, shape=(), dtype=float32)","tf.Tensor(0.27133015, shape=(), dtype=float32)","tf.Tensor(0.14177215, shape=(), dtype=float32)","tf.Tensor(0.0114722755, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.43554416, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.12302839, shape=(), dtype=float32)","tf.Tensor(0.1002611, shape=(), dtype=float32)","tf.Tensor(0.18817481, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
29,"tf.Tensor(0.6954596, shape=(), dtype=float32)","tf.Tensor(0.30102688, shape=(), dtype=float32)","tf.Tensor(0.17422222, shape=(), dtype=float32)","tf.Tensor(0.35857347, shape=(), dtype=float32)","tf.Tensor(0.2728528, shape=(), dtype=float32)","tf.Tensor(0.13001384, shape=(), dtype=float32)","tf.Tensor(0.011538462, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.43862522, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.121212125, shape=(), dtype=float32)","tf.Tensor(0.08313539, shape=(), dtype=float32)","tf.Tensor(0.1874832, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
