,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
20,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.28753877, shape=(), dtype=float32)","tf.Tensor(0.18758409, shape=(), dtype=float32)","tf.Tensor(0.32344255, shape=(), dtype=float32)","tf.Tensor(0.24302047, shape=(), dtype=float32)","tf.Tensor(0.17025982, shape=(), dtype=float32)","tf.Tensor(0.110416666, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3804786, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14599122, shape=(), dtype=float32)","tf.Tensor(0.20597701, shape=(), dtype=float32)","tf.Tensor(0.1302095, shape=(), dtype=float32)","tf.Tensor(0.1890329, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2916944, shape=(), dtype=float32)","tf.Tensor(0.18431292, shape=(), dtype=float32)","tf.Tensor(0.32550615, shape=(), dtype=float32)","tf.Tensor(0.24416018, shape=(), dtype=float32)","tf.Tensor(0.1699029, shape=(), dtype=float32)","tf.Tensor(0.10678532, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.38419068, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14753383, shape=(), dtype=float32)","tf.Tensor(0.20428015, shape=(), dtype=float32)","tf.Tensor(0.12559117, shape=(), dtype=float32)","tf.Tensor(0.18990484, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2937909, shape=(), dtype=float32)","tf.Tensor(0.18408395, shape=(), dtype=float32)","tf.Tensor(0.32764795, shape=(), dtype=float32)","tf.Tensor(0.24578734, shape=(), dtype=float32)","tf.Tensor(0.16492146, shape=(), dtype=float32)","tf.Tensor(0.086538464, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3862254, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14176245, shape=(), dtype=float32)","tf.Tensor(0.21139045, shape=(), dtype=float32)","tf.Tensor(0.1171446, shape=(), dtype=float32)","tf.Tensor(0.19062027, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.29632697, shape=(), dtype=float32)","tf.Tensor(0.18338777, shape=(), dtype=float32)","tf.Tensor(0.32860917, shape=(), dtype=float32)","tf.Tensor(0.24727932, shape=(), dtype=float32)","tf.Tensor(0.16477273, shape=(), dtype=float32)","tf.Tensor(0.07225806, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.38844714, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1345339, shape=(), dtype=float32)","tf.Tensor(0.2140182, shape=(), dtype=float32)","tf.Tensor(0.11440678, shape=(), dtype=float32)","tf.Tensor(0.1910314, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2983557, shape=(), dtype=float32)","tf.Tensor(0.1820474, shape=(), dtype=float32)","tf.Tensor(0.33059478, shape=(), dtype=float32)","tf.Tensor(0.24904943, shape=(), dtype=float32)","tf.Tensor(0.15926494, shape=(), dtype=float32)","tf.Tensor(0.06575342, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39056674, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13010053, shape=(), dtype=float32)","tf.Tensor(0.22023477, shape=(), dtype=float32)","tf.Tensor(0.094689175, shape=(), dtype=float32)","tf.Tensor(0.19285548, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.6987204, shape=(), dtype=float32)","tf.Tensor(0.30115047, shape=(), dtype=float32)","tf.Tensor(0.18196677, shape=(), dtype=float32)","tf.Tensor(0.3329121, shape=(), dtype=float32)","tf.Tensor(0.2522403, shape=(), dtype=float32)","tf.Tensor(0.1627907, shape=(), dtype=float32)","tf.Tensor(0.057971016, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39322743, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.11707989, shape=(), dtype=float32)","tf.Tensor(0.21703617, shape=(), dtype=float32)","tf.Tensor(0.07297167, shape=(), dtype=float32)","tf.Tensor(0.19457123, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.6987609, shape=(), dtype=float32)","tf.Tensor(0.30256048, shape=(), dtype=float32)","tf.Tensor(0.1824085, shape=(), dtype=float32)","tf.Tensor(0.3353811, shape=(), dtype=float32)","tf.Tensor(0.24775086, shape=(), dtype=float32)","tf.Tensor(0.16149068, shape=(), dtype=float32)","tf.Tensor(0.04923077, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39654168, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.10458568, shape=(), dtype=float32)","tf.Tensor(0.22060606, shape=(), dtype=float32)","tf.Tensor(0.057395145, shape=(), dtype=float32)","tf.Tensor(0.19722497, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.698784, shape=(), dtype=float32)","tf.Tensor(0.30605245, shape=(), dtype=float32)","tf.Tensor(0.17475104, shape=(), dtype=float32)","tf.Tensor(0.34023955, shape=(), dtype=float32)","tf.Tensor(0.25154042, shape=(), dtype=float32)","tf.Tensor(0.14694656, shape=(), dtype=float32)","tf.Tensor(0.042139385, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39980218, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.083333336, shape=(), dtype=float32)","tf.Tensor(0.21638525, shape=(), dtype=float32)","tf.Tensor(0.04474829, shape=(), dtype=float32)","tf.Tensor(0.19639175, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
28,"tf.Tensor(0.69880706, shape=(), dtype=float32)","tf.Tensor(0.3050064, shape=(), dtype=float32)","tf.Tensor(0.17603393, shape=(), dtype=float32)","tf.Tensor(0.34347972, shape=(), dtype=float32)","tf.Tensor(0.25454545, shape=(), dtype=float32)","tf.Tensor(0.13617887, shape=(), dtype=float32)","tf.Tensor(0.03760684, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40124887, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.06521739, shape=(), dtype=float32)","tf.Tensor(0.21806452, shape=(), dtype=float32)","tf.Tensor(0.027453672, shape=(), dtype=float32)","tf.Tensor(0.19701014, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
29,"tf.Tensor(0.6988763, shape=(), dtype=float32)","tf.Tensor(0.30868512, shape=(), dtype=float32)","tf.Tensor(0.17425126, shape=(), dtype=float32)","tf.Tensor(0.34734124, shape=(), dtype=float32)","tf.Tensor(0.24970554, shape=(), dtype=float32)","tf.Tensor(0.13943355, shape=(), dtype=float32)","tf.Tensor(0.03202847, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40495953, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.05269461, shape=(), dtype=float32)","tf.Tensor(0.22341137, shape=(), dtype=float32)","tf.Tensor(0.011773363, shape=(), dtype=float32)","tf.Tensor(0.19463643, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
