,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
20,"tf.Tensor(0.38972384, shape=(), dtype=float32)","tf.Tensor(0.38865754, shape=(), dtype=float32)","tf.Tensor(0.23156226, shape=(), dtype=float32)","tf.Tensor(0.4883519, shape=(), dtype=float32)","tf.Tensor(0.31719926, shape=(), dtype=float32)","tf.Tensor(0.23990498, shape=(), dtype=float32)","tf.Tensor(0.1737003, shape=(), dtype=float32)","tf.Tensor(0.07110092, shape=(), dtype=float32)","tf.Tensor(0.50319594, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18850765, shape=(), dtype=float32)","tf.Tensor(0.32180595, shape=(), dtype=float32)","tf.Tensor(0.23254676, shape=(), dtype=float32)","tf.Tensor(0.2647408, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.39374837, shape=(), dtype=float32)","tf.Tensor(0.3929619, shape=(), dtype=float32)","tf.Tensor(0.23089887, shape=(), dtype=float32)","tf.Tensor(0.48836777, shape=(), dtype=float32)","tf.Tensor(0.31941393, shape=(), dtype=float32)","tf.Tensor(0.24636766, shape=(), dtype=float32)","tf.Tensor(0.17589577, shape=(), dtype=float32)","tf.Tensor(0.06313131, shape=(), dtype=float32)","tf.Tensor(0.5074862, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18550202, shape=(), dtype=float32)","tf.Tensor(0.32673267, shape=(), dtype=float32)","tf.Tensor(0.2356129, shape=(), dtype=float32)","tf.Tensor(0.2675475, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.39661655, shape=(), dtype=float32)","tf.Tensor(0.3960396, shape=(), dtype=float32)","tf.Tensor(0.22955695, shape=(), dtype=float32)","tf.Tensor(0.48906288, shape=(), dtype=float32)","tf.Tensor(0.32484236, shape=(), dtype=float32)","tf.Tensor(0.23584905, shape=(), dtype=float32)","tf.Tensor(0.17805383, shape=(), dtype=float32)","tf.Tensor(0.05625879, shape=(), dtype=float32)","tf.Tensor(0.5130854, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.19079903, shape=(), dtype=float32)","tf.Tensor(0.336074, shape=(), dtype=float32)","tf.Tensor(0.23763455, shape=(), dtype=float32)","tf.Tensor(0.2672692, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.3979201, shape=(), dtype=float32)","tf.Tensor(0.39945424, shape=(), dtype=float32)","tf.Tensor(0.22855334, shape=(), dtype=float32)","tf.Tensor(0.4896002, shape=(), dtype=float32)","tf.Tensor(0.32925242, shape=(), dtype=float32)","tf.Tensor(0.23853211, shape=(), dtype=float32)","tf.Tensor(0.17359592, shape=(), dtype=float32)","tf.Tensor(0.06153846, shape=(), dtype=float32)","tf.Tensor(0.5164758, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1816273, shape=(), dtype=float32)","tf.Tensor(0.3418259, shape=(), dtype=float32)","tf.Tensor(0.23462877, shape=(), dtype=float32)","tf.Tensor(0.26804122, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.39888346, shape=(), dtype=float32)","tf.Tensor(0.40303776, shape=(), dtype=float32)","tf.Tensor(0.22832273, shape=(), dtype=float32)","tf.Tensor(0.48979336, shape=(), dtype=float32)","tf.Tensor(0.33019122, shape=(), dtype=float32)","tf.Tensor(0.23458646, shape=(), dtype=float32)","tf.Tensor(0.16431925, shape=(), dtype=float32)","tf.Tensor(0.05743243, shape=(), dtype=float32)","tf.Tensor(0.5203426, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17577465, shape=(), dtype=float32)","tf.Tensor(0.34792122, shape=(), dtype=float32)","tf.Tensor(0.23603632, shape=(), dtype=float32)","tf.Tensor(0.27061015, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.4, shape=(), dtype=float32)","tf.Tensor(0.40511307, shape=(), dtype=float32)","tf.Tensor(0.22689974, shape=(), dtype=float32)","tf.Tensor(0.49057785, shape=(), dtype=float32)","tf.Tensor(0.3311111, shape=(), dtype=float32)","tf.Tensor(0.23387097, shape=(), dtype=float32)","tf.Tensor(0.15767635, shape=(), dtype=float32)","tf.Tensor(0.04536862, shape=(), dtype=float32)","tf.Tensor(0.5237518, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17872341, shape=(), dtype=float32)","tf.Tensor(0.35095614, shape=(), dtype=float32)","tf.Tensor(0.23825888, shape=(), dtype=float32)","tf.Tensor(0.27616492, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.4013901, shape=(), dtype=float32)","tf.Tensor(0.40919232, shape=(), dtype=float32)","tf.Tensor(0.22584312, shape=(), dtype=float32)","tf.Tensor(0.49079832, shape=(), dtype=float32)","tf.Tensor(0.33170733, shape=(), dtype=float32)","tf.Tensor(0.22454308, shape=(), dtype=float32)","tf.Tensor(0.15845071, shape=(), dtype=float32)","tf.Tensor(0.040567953, shape=(), dtype=float32)","tf.Tensor(0.5273914, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16789792, shape=(), dtype=float32)","tf.Tensor(0.35314482, shape=(), dtype=float32)","tf.Tensor(0.23935518, shape=(), dtype=float32)","tf.Tensor(0.27864715, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.4017673, shape=(), dtype=float32)","tf.Tensor(0.41101503, shape=(), dtype=float32)","tf.Tensor(0.22248995, shape=(), dtype=float32)","tf.Tensor(0.4910308, shape=(), dtype=float32)","tf.Tensor(0.33460522, shape=(), dtype=float32)","tf.Tensor(0.21308412, shape=(), dtype=float32)","tf.Tensor(0.1544256, shape=(), dtype=float32)","tf.Tensor(0.03501094, shape=(), dtype=float32)","tf.Tensor(0.5298228, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15339233, shape=(), dtype=float32)","tf.Tensor(0.35558182, shape=(), dtype=float32)","tf.Tensor(0.23783581, shape=(), dtype=float32)","tf.Tensor(0.27725366, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
28,"tf.Tensor(0.4025157, shape=(), dtype=float32)","tf.Tensor(0.41368875, shape=(), dtype=float32)","tf.Tensor(0.21927194, shape=(), dtype=float32)","tf.Tensor(0.49172008, shape=(), dtype=float32)","tf.Tensor(0.34028408, shape=(), dtype=float32)","tf.Tensor(0.2071066, shape=(), dtype=float32)","tf.Tensor(0.1407334, shape=(), dtype=float32)","tf.Tensor(0.027777778, shape=(), dtype=float32)","tf.Tensor(0.5335019, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13419564, shape=(), dtype=float32)","tf.Tensor(0.36419, shape=(), dtype=float32)","tf.Tensor(0.23482107, shape=(), dtype=float32)","tf.Tensor(0.2773842, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
29,"tf.Tensor(0.40286672, shape=(), dtype=float32)","tf.Tensor(0.41809523, shape=(), dtype=float32)","tf.Tensor(0.21300139, shape=(), dtype=float32)","tf.Tensor(0.4927019, shape=(), dtype=float32)","tf.Tensor(0.34381813, shape=(), dtype=float32)","tf.Tensor(0.2012987, shape=(), dtype=float32)","tf.Tensor(0.1307054, shape=(), dtype=float32)","tf.Tensor(0.030150754, shape=(), dtype=float32)","tf.Tensor(0.53416944, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.116197184, shape=(), dtype=float32)","tf.Tensor(0.3634101, shape=(), dtype=float32)","tf.Tensor(0.23415264, shape=(), dtype=float32)","tf.Tensor(0.2797282, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
