,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
20,"tf.Tensor(0.38229904, shape=(), dtype=float32)","tf.Tensor(0.39685738, shape=(), dtype=float32)","tf.Tensor(0.23273416, shape=(), dtype=float32)","tf.Tensor(0.4844558, shape=(), dtype=float32)","tf.Tensor(0.2974229, shape=(), dtype=float32)","tf.Tensor(0.24497429, shape=(), dtype=float32)","tf.Tensor(0.16041918, shape=(), dtype=float32)","tf.Tensor(0.08980583, shape=(), dtype=float32)","tf.Tensor(0.45782906, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.19085592, shape=(), dtype=float32)","tf.Tensor(0.29025844, shape=(), dtype=float32)","tf.Tensor(0.21696869, shape=(), dtype=float32)","tf.Tensor(0.24260925, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.3870881, shape=(), dtype=float32)","tf.Tensor(0.4010352, shape=(), dtype=float32)","tf.Tensor(0.23515625, shape=(), dtype=float32)","tf.Tensor(0.48483714, shape=(), dtype=float32)","tf.Tensor(0.30324277, shape=(), dtype=float32)","tf.Tensor(0.24575037, shape=(), dtype=float32)","tf.Tensor(0.16530348, shape=(), dtype=float32)","tf.Tensor(0.081277214, shape=(), dtype=float32)","tf.Tensor(0.46297354, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.19416927, shape=(), dtype=float32)","tf.Tensor(0.29454172, shape=(), dtype=float32)","tf.Tensor(0.21892583, shape=(), dtype=float32)","tf.Tensor(0.24525745, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.39095047, shape=(), dtype=float32)","tf.Tensor(0.40532765, shape=(), dtype=float32)","tf.Tensor(0.23850632, shape=(), dtype=float32)","tf.Tensor(0.4854284, shape=(), dtype=float32)","tf.Tensor(0.30581316, shape=(), dtype=float32)","tf.Tensor(0.25075835, shape=(), dtype=float32)","tf.Tensor(0.16552354, shape=(), dtype=float32)","tf.Tensor(0.06711409, shape=(), dtype=float32)","tf.Tensor(0.4677513, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.19776908, shape=(), dtype=float32)","tf.Tensor(0.3030303, shape=(), dtype=float32)","tf.Tensor(0.21778634, shape=(), dtype=float32)","tf.Tensor(0.24795738, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.3939693, shape=(), dtype=float32)","tf.Tensor(0.40734667, shape=(), dtype=float32)","tf.Tensor(0.23905863, shape=(), dtype=float32)","tf.Tensor(0.48622873, shape=(), dtype=float32)","tf.Tensor(0.31082028, shape=(), dtype=float32)","tf.Tensor(0.2538178, shape=(), dtype=float32)","tf.Tensor(0.16594307, shape=(), dtype=float32)","tf.Tensor(0.045889102, shape=(), dtype=float32)","tf.Tensor(0.47234797, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.19833653, shape=(), dtype=float32)","tf.Tensor(0.30525163, shape=(), dtype=float32)","tf.Tensor(0.21649024, shape=(), dtype=float32)","tf.Tensor(0.25018615, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.39809468, shape=(), dtype=float32)","tf.Tensor(0.40893778, shape=(), dtype=float32)","tf.Tensor(0.2415046, shape=(), dtype=float32)","tf.Tensor(0.4867145, shape=(), dtype=float32)","tf.Tensor(0.31318945, shape=(), dtype=float32)","tf.Tensor(0.2547632, shape=(), dtype=float32)","tf.Tensor(0.16573462, shape=(), dtype=float32)","tf.Tensor(0.042283297, shape=(), dtype=float32)","tf.Tensor(0.4771726, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.20279959, shape=(), dtype=float32)","tf.Tensor(0.3116883, shape=(), dtype=float32)","tf.Tensor(0.21878056, shape=(), dtype=float32)","tf.Tensor(0.25448868, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.40052816, shape=(), dtype=float32)","tf.Tensor(0.41288534, shape=(), dtype=float32)","tf.Tensor(0.24204947, shape=(), dtype=float32)","tf.Tensor(0.48759806, shape=(), dtype=float32)","tf.Tensor(0.31134173, shape=(), dtype=float32)","tf.Tensor(0.25821066, shape=(), dtype=float32)","tf.Tensor(0.1655914, shape=(), dtype=float32)","tf.Tensor(0.028037382, shape=(), dtype=float32)","tf.Tensor(0.4821119, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.2005814, shape=(), dtype=float32)","tf.Tensor(0.31682026, shape=(), dtype=float32)","tf.Tensor(0.2156933, shape=(), dtype=float32)","tf.Tensor(0.2562948, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.40197545, shape=(), dtype=float32)","tf.Tensor(0.41399693, shape=(), dtype=float32)","tf.Tensor(0.24021962, shape=(), dtype=float32)","tf.Tensor(0.488205, shape=(), dtype=float32)","tf.Tensor(0.31506848, shape=(), dtype=float32)","tf.Tensor(0.26235294, shape=(), dtype=float32)","tf.Tensor(0.16857798, shape=(), dtype=float32)","tf.Tensor(0.01511335, shape=(), dtype=float32)","tf.Tensor(0.4870305, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.20433436, shape=(), dtype=float32)","tf.Tensor(0.31933767, shape=(), dtype=float32)","tf.Tensor(0.21350329, shape=(), dtype=float32)","tf.Tensor(0.25553882, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.40397555, shape=(), dtype=float32)","tf.Tensor(0.41804072, shape=(), dtype=float32)","tf.Tensor(0.24269986, shape=(), dtype=float32)","tf.Tensor(0.48943526, shape=(), dtype=float32)","tf.Tensor(0.31436032, shape=(), dtype=float32)","tf.Tensor(0.2678028, shape=(), dtype=float32)","tf.Tensor(0.16825776, shape=(), dtype=float32)","tf.Tensor(0.005221932, shape=(), dtype=float32)","tf.Tensor(0.49277198, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.2037422, shape=(), dtype=float32)","tf.Tensor(0.31868133, shape=(), dtype=float32)","tf.Tensor(0.20839813, shape=(), dtype=float32)","tf.Tensor(0.2556831, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
28,"tf.Tensor(0.40574282, shape=(), dtype=float32)","tf.Tensor(0.41976845, shape=(), dtype=float32)","tf.Tensor(0.2421638, shape=(), dtype=float32)","tf.Tensor(0.49090675, shape=(), dtype=float32)","tf.Tensor(0.31657755, shape=(), dtype=float32)","tf.Tensor(0.2743864, shape=(), dtype=float32)","tf.Tensor(0.1734758, shape=(), dtype=float32)","tf.Tensor(0.0054054055, shape=(), dtype=float32)","tf.Tensor(0.49693844, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.20079964, shape=(), dtype=float32)","tf.Tensor(0.3159204, shape=(), dtype=float32)","tf.Tensor(0.20183942, shape=(), dtype=float32)","tf.Tensor(0.25681117, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
29,"tf.Tensor(0.40498245, shape=(), dtype=float32)","tf.Tensor(0.42226192, shape=(), dtype=float32)","tf.Tensor(0.24202128, shape=(), dtype=float32)","tf.Tensor(0.49109116, shape=(), dtype=float32)","tf.Tensor(0.3181818, shape=(), dtype=float32)","tf.Tensor(0.27402598, shape=(), dtype=float32)","tf.Tensor(0.176781, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.50081795, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.19809523, shape=(), dtype=float32)","tf.Tensor(0.32, shape=(), dtype=float32)","tf.Tensor(0.19683258, shape=(), dtype=float32)","tf.Tensor(0.25912136, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
