,No Finding
179,"tf.Tensor(0.11159063, shape=(), dtype=float32)"
180,"tf.Tensor(0.09587549, shape=(), dtype=float32)"
181,"tf.Tensor(0.078308046, shape=(), dtype=float32)"
182,"tf.Tensor(0.06464902, shape=(), dtype=float32)"
183,"tf.Tensor(0.05468314, shape=(), dtype=float32)"
184,"tf.Tensor(0.04082945, shape=(), dtype=float32)"
185,"tf.Tensor(0.031047866, shape=(), dtype=float32)"
186,"tf.Tensor(0.022747584, shape=(), dtype=float32)"
187,"tf.Tensor(0.01646963, shape=(), dtype=float32)"
188,"tf.Tensor(0.011607946, shape=(), dtype=float32)"
189,"tf.Tensor(0.0049216636, shape=(), dtype=float32)"
190,"tf.Tensor(0.002792149, shape=(), dtype=float32)"
191,"tf.Tensor(0.0013149244, shape=(), dtype=float32)"
192,"tf.Tensor(0.00049329933, shape=(), dtype=float32)"
193,"tf.Tensor(0.0, shape=(), dtype=float32)"
194,"tf.Tensor(0.0, shape=(), dtype=float32)"
195,"tf.Tensor(0.0, shape=(), dtype=float32)"
196,"tf.Tensor(0.0, shape=(), dtype=float32)"
197,"tf.Tensor(0.0, shape=(), dtype=float32)"
198,"tf.Tensor(0.0, shape=(), dtype=float32)"
199,"tf.Tensor(0.0, shape=(), dtype=float32)"
