,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
21,"tf.Tensor(0.7017239, shape=(), dtype=float32)","tf.Tensor(0.3155551, shape=(), dtype=float32)","tf.Tensor(0.19939394, shape=(), dtype=float32)","tf.Tensor(0.34901768, shape=(), dtype=float32)","tf.Tensor(0.27660754, shape=(), dtype=float32)","tf.Tensor(0.2065849, shape=(), dtype=float32)","tf.Tensor(0.12487993, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.421875, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14534444, shape=(), dtype=float32)","tf.Tensor(0.31724137, shape=(), dtype=float32)","tf.Tensor(0.13950692, shape=(), dtype=float32)","tf.Tensor(0.21803626, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.70182556, shape=(), dtype=float32)","tf.Tensor(0.31804672, shape=(), dtype=float32)","tf.Tensor(0.19681032, shape=(), dtype=float32)","tf.Tensor(0.3557709, shape=(), dtype=float32)","tf.Tensor(0.27905622, shape=(), dtype=float32)","tf.Tensor(0.20821919, shape=(), dtype=float32)","tf.Tensor(0.10067114, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.42661166, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.11046512, shape=(), dtype=float32)","tf.Tensor(0.32325888, shape=(), dtype=float32)","tf.Tensor(0.13250087, shape=(), dtype=float32)","tf.Tensor(0.22107843, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.70193034, shape=(), dtype=float32)","tf.Tensor(0.32354903, shape=(), dtype=float32)","tf.Tensor(0.18816389, shape=(), dtype=float32)","tf.Tensor(0.35964012, shape=(), dtype=float32)","tf.Tensor(0.2796223, shape=(), dtype=float32)","tf.Tensor(0.2097489, shape=(), dtype=float32)","tf.Tensor(0.07435898, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.43028566, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.085011184, shape=(), dtype=float32)","tf.Tensor(0.32196453, shape=(), dtype=float32)","tf.Tensor(0.11802489, shape=(), dtype=float32)","tf.Tensor(0.21891822, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.70221525, shape=(), dtype=float32)","tf.Tensor(0.32419243, shape=(), dtype=float32)","tf.Tensor(0.18618366, shape=(), dtype=float32)","tf.Tensor(0.3628575, shape=(), dtype=float32)","tf.Tensor(0.28247163, shape=(), dtype=float32)","tf.Tensor(0.20145044, shape=(), dtype=float32)","tf.Tensor(0.05074627, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.4344971, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.061576355, shape=(), dtype=float32)","tf.Tensor(0.33286119, shape=(), dtype=float32)","tf.Tensor(0.095903166, shape=(), dtype=float32)","tf.Tensor(0.2204301, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.70230913, shape=(), dtype=float32)","tf.Tensor(0.3271312, shape=(), dtype=float32)","tf.Tensor(0.17407407, shape=(), dtype=float32)","tf.Tensor(0.36573526, shape=(), dtype=float32)","tf.Tensor(0.28018373, shape=(), dtype=float32)","tf.Tensor(0.19686411, shape=(), dtype=float32)","tf.Tensor(0.031034483, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.43720406, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.047368422, shape=(), dtype=float32)","tf.Tensor(0.3367647, shape=(), dtype=float32)","tf.Tensor(0.08585056, shape=(), dtype=float32)","tf.Tensor(0.22085546, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.70254266, shape=(), dtype=float32)","tf.Tensor(0.33079076, shape=(), dtype=float32)","tf.Tensor(0.16691957, shape=(), dtype=float32)","tf.Tensor(0.3696338, shape=(), dtype=float32)","tf.Tensor(0.2790224, shape=(), dtype=float32)","tf.Tensor(0.1975541, shape=(), dtype=float32)","tf.Tensor(0.018796992, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.44119355, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.029931974, shape=(), dtype=float32)","tf.Tensor(0.33333334, shape=(), dtype=float32)","tf.Tensor(0.056200366, shape=(), dtype=float32)","tf.Tensor(0.22118472, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.70268387, shape=(), dtype=float32)","tf.Tensor(0.3340858, shape=(), dtype=float32)","tf.Tensor(0.15783665, shape=(), dtype=float32)","tf.Tensor(0.37077364, shape=(), dtype=float32)","tf.Tensor(0.2781128, shape=(), dtype=float32)","tf.Tensor(0.1910569, shape=(), dtype=float32)","tf.Tensor(0.003944773, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.44567043, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.025245441, shape=(), dtype=float32)","tf.Tensor(0.33044848, shape=(), dtype=float32)","tf.Tensor(0.04008293, shape=(), dtype=float32)","tf.Tensor(0.21532847, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
28,"tf.Tensor(0.7031932, shape=(), dtype=float32)","tf.Tensor(0.33702576, shape=(), dtype=float32)","tf.Tensor(0.14966807, shape=(), dtype=float32)","tf.Tensor(0.37345332, shape=(), dtype=float32)","tf.Tensor(0.2797619, shape=(), dtype=float32)","tf.Tensor(0.17054264, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.44778696, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.014347202, shape=(), dtype=float32)","tf.Tensor(0.32550606, shape=(), dtype=float32)","tf.Tensor(0.019711902, shape=(), dtype=float32)","tf.Tensor(0.21192893, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
29,"tf.Tensor(0.70364434, shape=(), dtype=float32)","tf.Tensor(0.33831424, shape=(), dtype=float32)","tf.Tensor(0.13492064, shape=(), dtype=float32)","tf.Tensor(0.37503916, shape=(), dtype=float32)","tf.Tensor(0.27926877, shape=(), dtype=float32)","tf.Tensor(0.1589242, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.45145693, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0057971017, shape=(), dtype=float32)","tf.Tensor(0.32518956, shape=(), dtype=float32)","tf.Tensor(0.0015948963, shape=(), dtype=float32)","tf.Tensor(0.20965058, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
30,"tf.Tensor(0.704487, shape=(), dtype=float32)","tf.Tensor(0.33575758, shape=(), dtype=float32)","tf.Tensor(0.111929305, shape=(), dtype=float32)","tf.Tensor(0.37661487, shape=(), dtype=float32)","tf.Tensor(0.27912623, shape=(), dtype=float32)","tf.Tensor(0.14993307, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.45352188, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0029239766, shape=(), dtype=float32)","tf.Tensor(0.3269565, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.206655, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
